codigo_cups,nombre_servicio,categoria
1F1002651000100,Fibrogammin P,procedimientos
200599671,XELJANZ®5MG,procedimientos
201233701,GUSELKUMAB 100MG SOL INYEC(BLETREMFYA®),procedimientos
201782681,UPADACITINIB 15MG TAB LIB PROL INST FCO X 30,procedimientos
230101,EXODONCIA DE DIENTE PERMANENTE UNIRRADICULAR,procedimientos
230102,EXODONCIA DE DIENTE PERMANENTE MULTIRRADICULAR,procedimientos
230103,EXODONCIA DE DIENTES PERMANENTES,procedimientos
230201,EXODONCIA DE DIENTE TEMPORAL UNIRRADICULAR,procedimientos
230202,EXODONCIA DE DIENTE TEMPORAL MULTIRRADICULAR,procedimientos
230203,EXODONCIA DE DIENTES TEMPORALES,procedimientos
231101,EXODONCIA QUIRURGICA UNIRRADICULAR,procedimientos
231201,EXODONCIA QUIRURGICA MULTIRRADICULAR,procedimientos
231303,EXODONCIA DE DIENTE INCLUIDO,procedimientos
232101,OBTURACION DENTAL CON AMALGAMA,procedimientos
232102,OBTURACION DENTAL CON RESINA DE FOTOCURADO,procedimientos
232103,OBTURACION DENTAL CON IONOMERO DE VIDRIO,procedimientos
232104,OBTURACION DENTAL,procedimientos
232201,OBTURACION TEMPORAL POR DIENTE,procedimientos
232301,COLOCACION DE PIN MILIMETRICO,procedimientos
232401,RECONSTRUCCION DE ANGULO INCISAL,procedimientos
232402,RECONSTRUCCION TERCIO INCISAL,procedimientos
232403,RECONSTRUCCION DENTAL,procedimientos
237102,PULPOTOMIA,procedimientos
237103,PULPECTOMIA,procedimientos
237201,APEXIFICACION (INDUCCION DE APEXOGENESIS),procedimientos
237203,RECUBRIMIENTO PULPAR DIRECTO,procedimientos
237204,RECUBRIMIENTO PULPAR INDIRECTO,procedimientos
237301,TERAPIA DE CONDUCTO RADICULAR EN DIENTE UNIRRADICULAR,procedimientos
237302,TERAPIA DE CONDUCTO RADICULAR EN DIENTE BIRRADICULAR,procedimientos
237303,TERAPIA DE CONDUCTO RADICULAR EN DIENTE MULTIRRADICULAR,procedimientos
237304,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL UNIRRADICULAR,procedimientos
237305,TERAPIA DE CONDUCTO RADICULAR EN DIENTE TEMPORAL MULTIRRADICULAR,procedimientos
237307,DESOBTURACION DE CONDUCTO RADICULAR,procedimientos
237401,CURETAJE APICAL CON APICECTOMIA Y OBTURACION RETROGRADA (CIRUGIA PERIRRADICULAR),procedimientos
237601,FISTULIZACION ENDODONTICA POR TREPANACION Y DRENAJE,procedimientos
237602,FISTULIZACION ENDODONTICA POR INCISION,procedimientos
237603,FISTULIZACION ENDODONTICA,procedimientos
237604,FISTULIZACION ENDODONTICA POR DESCOMPRESION,procedimientos
240201,DETARTRAJE SUBGINGIVAL,procedimientos
240301,"ALISADO RADICULAR, CAMPO CERRADO",procedimientos
240401,DRENAJE DE COLECCION PERIODONTAL (CERRADO CON ALISADO RADICULAR),procedimientos
241101,BIOPSIA INCISIONAL DE ENCIA,procedimientos
241102,BIOPSIA ESCISIONAL DE ENCIA CON CIERRE PRIMARIO,procedimientos
241104,BIOPSIA DE ENCIA,procedimientos
241201,BIOPSIA DE PARED ALVEOLAR,procedimientos
242201,CURETAJE A CAMPO ABIERTO,procedimientos
243101,ESCISION DE LESION BENIGNA ENCAPSULADA EN ENCIA HASTA DE TRES CENTIMETROS,procedimientos
243102,ESCISION DE LESION BENIGNA ENCAPSULADA EN ENCIA DE MAS DE TRES CENTIMETROS,procedimientos
243103,ESCISION DE LESION BENIGNA NO ENCAPSULADA EN ENCIA HASTA DE TRES CENTIMETROS,procedimientos
243104,ESCISION DE LESION BENIGNA NO ENCAPSULADA EN ENCIA DE MAS DE TRES CENTIMETROS,procedimientos
243110,RESECCION DE LESION DE ENCIA,procedimientos
243201,"SUTURA DE LACERACION DE ENCIA, MENOR DE TRES CENTIMETROS",procedimientos
243202,"SUTURA DE LACERACION DE ENCIA, MAYOR DE TRES CENTIMETROS",procedimientos
243203,SUTURA DE LACERACION DE ENCIA,procedimientos
243401,GINGIVECTOMIA,procedimientos
243502,OPERCULECTOMIA,procedimientos
247401,FERULIZACION RIGIDA (SUPERIOR O INFERIOR),procedimientos
247402,FERULIZACION SEMIRRIGIDA (SUPERIOR O INFERIOR),procedimientos
247403,FERULIZACION,procedimientos
