codigo_cups,nombre_servicio,categoria
890209,CONSULTA DE PRIMERA VEZ POR TRABAJO SOCIAL,consultas
890210,CONSULTA DE PRIMERA VEZ POR FONOAUDIOLOGIA,consultas
890215,CONSULTA DE PRIMERA VEZ POR EQUIPO INTERDISCIPLINARIO,consultas
890225,CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN ALERGOLOGIA,consultas
890253,CONSULTA DE PRIMERA VEZ POR ESPECIALISTA EN HEPATOLOGIA,consultas
890309,CONSULTA DE CONTROL O DE SEGUIMIENTO POR TRABAJO SOCIAL,consultas
890310,CONSULTA DE CONTROL O DE SEGUIMIENTO POR FONOAUDIOLOGIA,consultas
890315,CONSULTA INTEGRAL DE CONTROL O DE SEGUIMIENTO POR EQUIPO INTERDISCIPLINARIO,consultas
890325,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ESPECIALISTA EN ALERGOLOGIA,consultas
890353,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ESPECIALISTA EN HEPATOLOGIA,consultas
