codigo,padre,nombre,sedes
1,,Administración,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
10,1,Gerencia,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1001,10,Gerencia - General,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
11,1,Dirección Financiera Y Administrativa,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1100,11,Dirección Financiera Y Administrativa - Financiera,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1101,11,Dirección Financiera Y Administrativa - Contabilidad,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1102,11,Dirección Financiera Y Administrativa - Tesorería,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1103,11,Dirección Financiera Y Administrativa - Compras,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1104,11,Dirección Financiera Y Administrativa - Facturación,"Medellín - Sede Administrativa, Medellín - Sede Principal, Medellín - Sede 2, Medellín - Sede 3, Medellín - Sede Comedal, Cali - Sede Principal, Pereira - Sede Principal, Popayán - Sede Principal, Armenia - Sede Principal"
1105,11,Dirección Financiera Y Administrativa - Administrativo Valle Del Cauca,Cali - Sede Principal
1106,11,Dirección Financiera Y Administrativa - Administrativo Pereira,Pereira - Sede Principal
