codigo,nombre,descripcion
A000,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE",COLERA
A001,"COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR",COLERA
A009,"COLERA, NO ESPECIFICADO",COLERA
A010,FIEBRE TIFOIDEA,FIEBRES TIFOIDEA Y PARATIFOIDEA
A011,FIEBRE PARATIFOIDEA A,FIEBRES TIFOIDEA Y PARATIFOIDEA
A012,FIEBRE PARATIFOIDEA B,FIEBRES TIFOIDEA Y PARATIFOIDEA
A013,FIEBRE PARATIFOIDEA C,FIEBRES TIFOIDEA Y PARATIFOIDEA
A014,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA",FIEBRES TIFOIDEA Y PARATIFOIDEA
A020,ENTERITIS DEBIDA A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA
A021,SEPSIS DEBIDA A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA
A022,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA
A028,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,OTRAS INFECCIONES DEBIDAS SALMONELLA
A029,"INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA",OTRAS INFECCIONES DEBIDAS SALMONELLA
A030,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,SHIGELOSIS
A031,SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI,SHIGELOSIS
A032,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,SHIGELOSIS
A033,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,SHIGELOSIS
A038,OTRAS SHIGELOSIS,SHIGELOSIS
A039,SHIGELOSIS DE TIPO NO ESPECIFICADO,SHIGELOSIS
A040,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A041,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A042,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A043,INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A044,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A045,ENTERITIS DEBIDA A CAMPYLOBACTER,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A046,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A047,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A048,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A049,"INFECCION INTESTINAL BACTERIANA, NO ESPECIFICADA",OTRAS INFECCIONES INTESTINALES BACTERIANAS
A050,INTOXICACION ALIMENTARIA ESTAFILOCOCICA,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A051,BOTULISMO,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A052,INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A053,INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A054,INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A058,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A059,"INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA",OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A060,DISENTERIA AMEBIANA AGUDA,AMEBIASIS
A061,AMEBIASIS INTESTINAL CRONICA,AMEBIASIS
A062,COLITIS AMEBIANA NO DISENTERICA,AMEBIASIS
A063,AMEBOMA INTESTINAL,AMEBIASIS
A064,ABSCESO AMEBIANO DEL HIGADO,AMEBIASIS
A065,ABSCESO AMEBIANO DEL PULMON,AMEBIASIS
A066,ABSCESO AMEBIANO DEL CEREBRO,AMEBIASIS
A067,AMEBIASIS CUTANEA,AMEBIASIS
A068,INFECCION AMEBIANA DE OTRAS LOCALIZACIONES,AMEBIASIS
A069,"AMEBIASIS, NO ESPECIFICADA",AMEBIASIS
A070,BALANTIDIASIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A071,GIARDIASIS [LAMBLIASIS],OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A072,CRIPTOSPORIDIOSIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A073,ISOSPORIASIS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A080,ENTERITIS DEBIDA A ROTAVIRUS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A082,ENTERITIS DEBIDA A ADENOVIRUS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A083,OTRAS ENTERITIS VIRALES,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A084,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A090,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO
A099,GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO,OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO
A09X,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO
A150,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A151,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A152,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A153,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A154,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A156,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE","TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A160,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A161,"TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A162,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A163,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A165,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA","TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A170,MENINGITIS TUBERCULOSA,TUBERCULOSIS DEL SISTEMA NERVIOSO
A171,TUBERCULOMA MENINGEO,TUBERCULOSIS DEL SISTEMA NERVIOSO
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,TUBERCULOSIS DEL SISTEMA NERVIOSO
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",TUBERCULOSIS DEL SISTEMA NERVIOSO
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,TUBERCULOSIS DE OTROS ORGANOS
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,TUBERCULOSIS DE OTROS ORGANOS
A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,TUBERCULOSIS DE OTROS ORGANOS
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",TUBERCULOSIS DE OTROS ORGANOS
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,TUBERCULOSIS DE OTROS ORGANOS
A185,TUBERCULOSIS DEL OJO,TUBERCULOSIS DE OTROS ORGANOS
A186,TUBERCULOSIS DEL OIDO,TUBERCULOSIS DE OTROS ORGANOS
A187,TUBERCULOSIS DE GLANDULAS SUPRARRENALES,TUBERCULOSIS DE OTROS ORGANOS
A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,TUBERCULOSIS DE OTROS ORGANOS
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,TUBERCULOSIS MILIAR
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,TUBERCULOSIS MILIAR
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",TUBERCULOSIS MILIAR
A198,OTRAS TUBERCULOSIS MILIARES,TUBERCULOSIS MILIAR
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",TUBERCULOSIS MILIAR
A200,PESTE BUBONICA,PESTE
A201,PESTE CELULOCUTANEA,PESTE
A202,PESTE NEUMONICA,PESTE
A203,MENINGITIS POR PESTE,PESTE
A207,PESTE SEPTICEMICA,PESTE
A208,OTRAS FORMAS DE PESTE,PESTE
A209,"PESTE, NO ESPECIFICADA",PESTE
A210,TULAREMIA ULCEROGLANDULAR,TULAREMIA
A211,TULAREMIA OCULOGLANDULAR,TULAREMIA
A212,TULAREMIA PULMONAR,TULAREMIA
A213,TULAREMIA GASTROINTESTINAL,TULAREMIA
A217,TULAREMIA GENERALIZADA,TULAREMIA
A218,OTRAS FORMAS DE TULAREMIA,TULAREMIA
A219,"TULAREMIA, NO ESPECIFICADA",TULAREMIA
A220,CARBUNCO CUTANEO,CARBUNCO [ ANTRAX ]
A221,CARBUNCO PULMONAR,CARBUNCO [ ANTRAX ]
A222,CARBUNCO GASTROINTESTINAL,CARBUNCO [ ANTRAX ]
A227,CARBUNCO SEPTICO,CARBUNCO [ ANTRAX ]
A228,OTRAS FORMAS DE CARBUNCO,CARBUNCO [ ANTRAX ]
A229,"CARBUNCO, NO ESPECIFICADO",CARBUNCO [ ANTRAX ]
A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,BRUCELOSIS
A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,BRUCELOSIS
A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,BRUCELOSIS
A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,BRUCELOSIS
