codigo,nombre,tipo,nivel,naturaleza,codigo_padre,acepta_movimientos
1,ACTIVO,activo,1,debito,,0
11,EFECTIVO Y EQUIVALENTES AL EFECTIVO,activo,2,debito,1,0
1101,Efectivo,activo,3,debito,11,0
110101,Caja general,activo,4,debito,1101,0
11010104,Caja Tarjeta 23701 karol,activo,5,debito,110101,1
11010105,Caja Tarjeta transportes 14287,activo,5,debito,110101,1
11010106,Caja general copagos MDE,activo,5,debito,110101,1
11010107,Caja tarjeta 93776 CALI,activo,5,debito,110101,1
11010108,Caja tarjeta 70283 MDE,activo,5,debito,110101,1
11010109,Caja tarjeta 79266 MELANY,activo,5,debito,110101,1
11010110,Caja tarjeta 48890 PEREIRA,activo,5,debito,110101,1
11010111,Caja copagos Pereira,activo,5,debito,110101,1
110102,Cajas menores,activo,4,debito,1101,0
11010204,Tarjeta prepago 23701 karol,activo,5,debito,110102,1
11010205,Tarjeta prepago transportes 14287,activo,5,debito,110102,1
11010206,Tarjeta prepago admin 70283 MEDELLIN,activo,5,debito,110102,1
11010207,Tarjeta prepago 93776 CALI,activo,5,debito,110102,1
11010208,Tarjeta prepago 48890 PEREIRA,activo,5,debito,110102,1
11010209,Tarjeta prepago 79266 MELANY,activo,5,debito,110102,1
11010210,Caja copago SURA,activo,5,debito,110102,1
11010211,Caja copagos CALI,activo,5,debito,110102,1
11010212,Caja base Cali,activo,5,debito,110102,1
110104,Bancos cuentas corrientes-moneda naciona,activo,4,debito,1101,0
11010406,Bancos cuentas corrientes-moneda naciona,activo,5,debito,110104,1
110106,Bancos cuentas de ahorro-bancos moneda n,activo,4,debito,1101,0
11010606,Cuenta de ahorros bancolombia #236373132,activo,5,debito,110106,1
11010607,Cuenta banco de bogotá # xxx,activo,5,debito,110106,1
11010699,Partidas conciliatorias,activo,5,debito,110106,1
1103,Equivalentes al efectivo,activo,3,debito,11,0
110301,Depósitos a corto plazo,activo,4,debito,1103,0
11030106,Depósitos a corto plazo,activo,5,debito,110301,1
110302,Inversiones a corto plazo,activo,4,debito,1103,0
11030206,Inversiones a corto plazo,activo,5,debito,110302,1
110303,Fondos fiduciarios a la vista,activo,4,debito,1103,0
11030306,Fondos fiduciarios a la vista,activo,5,debito,110303,1
110305,Sobregiros,activo,4,debito,1103,0
11030506,Sobregiros,activo,5,debito,110305,1
12,INVERSIONES E INSTRUMENTOS DERIVADOS,activo,2,debito,1,0
1201,Derechos de recompra de inversiones,activo,3,debito,12,0
120103,Inversiones en instrumentos de deuda a,activo,4,debito,1201,0
12010306,Inversiones en instrumentos de deuda a,activo,5,debito,120103,1
1202,Inversiones en instrumentos de deuda o p,activo,3,debito,12,0
120201,Certificados de depósito a término,activo,4,debito,1202,0
12020106,Certificados de depósito a término,activo,5,debito,120201,1
120212,Derechos fiduciarios,activo,4,debito,1202,0
12021206,Derechos fiduciarios,activo,5,debito,120212,1
120217,Acciones en Otros sectores,activo,4,debito,1202,0
12021706,Acciones en Otros sectores,activo,5,debito,120217,1
120220,Otros títulos de deuda,activo,4,debito,1202,0
12022006,Otros títulos de deuda,activo,5,debito,120220,1
1222,Deterioro acumulado de inversiones (cr),activo,3,debito,12,0
122201,Inversiones en instrumentos de deuda a,activo,4,debito,1222,0
12220106,Inversiones en instrumentos de deuda a,activo,5,debito,122201,1
1245,Derechos fiduciarios,activo,3,debito,12,0
124505,Fideicomisos de inversión moneda naciona,activo,4,debito,1245,0
12450501,Fiducuenta Bancolombia 3746,activo,5,debito,124505,1
13,CUENTAS POR COBRAR,activo,2,debito,1,0
1301,Deudores del sistema- precio de la trans,activo,3,debito,13,0
130110,Cuentas por cobrar a IPS,activo,4,debito,1301,0
13011006,Prestadores de servicios de salud,activo,5,debito,130110,1
130111,Cuotas moderadoras,activo,4,debito,1301,0
13011101,Régimen Contributivo RC,activo,5,debito,130111,1
13011103,Plan de Atención Complementaria PAC,activo,5,debito,130111,1
13011104,Empresa de Medicina Prepagada EMP,activo,5,debito,130111,1
13011105,Servicio de Ambulancia Prepagada SAP,activo,5,debito,130111,1
130114,Copagos,activo,4,debito,1301,0
13011401,Régimen Contributivo RC,activo,5,debito,130114,1
13011402,Régimen Subsidiado RS,activo,5,debito,130114,1
13011403,Plan de Atención Complementaria PAC,activo,5,debito,130114,1
130125,Cuentas por cobrar salud-pend radicar,activo,4,debito,1301,0
13012506,"Cuentas por cobrar salud,-pend radicar",activo,5,debito,130125,1
13012599,Provision ingresos no facturados,activo,5,debito,130125,1
130126,Cuentas por cobrar salud-radicadas,activo,4,debito,1301,0
13012606,Cuentas por cobrar salud contributivo,activo,5,debito,130126,1
13012607,Cuentas por cobrar salud subsidiado,activo,5,debito,130126,1
130127,Glosas- Radicada,activo,4,debito,1301,0
13012706,Glosas- Radicada,activo,5,debito,130127,1
130128,Glosas-Conciliadas,activo,4,debito,1301,0
13012806,Glosas-Conciliadas,activo,5,debito,130128,1
130129,Particulares,activo,4,debito,1301,0
13012906,Particulares,activo,5,debito,130129,1
1305,Cuentas por cobrar a socios y accionista,activo,3,debito,13,0
130502,Prestamos a accionistas,activo,4,debito,1305,0
13050206,Prestamos a accionistas,activo,5,debito,130502,1
1311,Arrendamiento operativo,activo,3,debito,13,0
131102,Construcciones o edificaciones,activo,4,debito,1311,0
13110206,Construcciones o edificaciones,activo,5,debito,131102,1
1313,Activos no financieros-anticipos,activo,3,debito,13,0
131301,Anticipos a proveedores,activo,4,debito,1313,0
13130106,Anticipos a proveedores,activo,5,debito,131301,1
131303,Anticipos a empleados,activo,4,debito,1313,0
13130306,Anticipos salarios y pagos laborales,activo,5,debito,131303,1
13130307,Anticipos Gastos de viaje,activo,5,debito,131303,1
1314,Anticipo de impuestos y contribuciones o,activo,3,debito,13,0
131401,Anticipo de impuestos de renta y complem,activo,4,debito,1314,0
13140106,Anticipo de impuestos de renta y complem,activo,5,debito,131401,1
13140107,Autoretencion 1.10%,activo,5,debito,131401,1
131402,Retención en la fuente,activo,4,debito,1314,0
13140206,Retención en la fuente por honorarios 11,activo,5,debito,131402,1
13140207,Retención en la fuente por serv de salud,activo,5,debito,131402,1
13140208,Retención en la fuente por datafonos 1.5,activo,5,debito,131402,1
13140209,Retención en la fuente rendtos fros 7,activo,5,debito,131402,1
13140210,Retencion en la fuente por compras 2.5,activo,5,debito,131402,1
13140211,RETENCION SERVICIOS 4%,activo,5,debito,131402,1
